Incidente_Tipo;Incidente_ID;FECHA;Incidente_Hora;Incidente_Título;Incidente_Desc;Incidente_Severidad_Real;Incidente_Severidad_Potencial;Incidente_Relación_Laboral;Incidente_Registrabilidad_Desc;Investigación_Obligatoria;Activo_Empresa_Contratista;Vehiculo_Desc;Incidente_UT;Activo_Ubicación_Técnica;Incidente_Lugar;Activo_Descripción;Activo_Patente;Activo_Modelo;Activo_Marca;Activo_ID;Activo_Area;DESC_CLASE_DE_DAÑO_VEHICULAR;INCIDENTE_CONSECUENCIA_POTENCIAL;INCIDENTE_PRECURSOR;Incidente_ReglaOro;SEGMENTO;UBIC_TECNICA_NIVEL1;UBIC_TECNICA_NIVEL2;UBIC_TECNICA_NIVEL3;Función;Gerencia;SECTOR;SUBSECTOR;Incidente_ZZLATITUD_GMS_GRAD;Incidente_ZZLATITUD_GMS_MIN;Incidente_ZZLATITUD_GMS_SEG;Incidente_ZZLONGITUD_GMS_GRAD;Incidente_ZZLONGITUD_GMS_MIN;Incidente_ZZLONGITUD_GMS_SEG;Persona_Responsable;Persona_Rol
VEHICULAR;133550;12/12/2021;10:30:00;2021-12-12-OP. DIST- CVM - COLISION DE TERCERO- TJB;"El día 12-12-2021 a las 07:30hs el chofer se encontraba circulando cargado por la ruta Panamericana sentido Capital pasando el peaje de Pacheco, cuando un vehículo tercero que circulaba detrás de la unidad, impacta el equipo sobre el paragolpes trasero lado izquierdo desprendiendo el mismo y generando que impacte sobre una moto que pierde la estabilidad y cae.
El conductor de la moto sufre golpes en el pie; el conductor del vehículo tercero sufre latigazo cervical.
La unidad tiene daños en paragolpes trasero, guardabarro del último eje lado izquierdo y luces lado izquierdo.
El vehículo tercero sufre daños en paragolpes, guardabarros lado derecho.";58;5-7;X;2: No Registrable;;;;ARGENTINA;;Ruta Panamericana sentido Capital a 800 metros del peaje Pacheco (-34.463460, -58.687599);;;;;;;;;Distanc. de seguridad inadecuado.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;151725;02/04/2022;13:46:00;2022-04-02 -OP.DIST. cvm ex-Falla Mecanica- TJB;Siendo las 10:46 hs se comunica el chofer informando que mientras circulaba cargado hacia la ciudad de La Plata, en avenida Lugones altura estadio Monumental,  se le revento un gomon del ultimo eje del tanque lado derecho sin caudar daños en el equipo ni a terceros. Se dio aviso al personal del taller, quienes enviaran el auxilio para reparar el equipo.;6;6;X;3: Excepción;;TRANSPORTES JOSE BERALDI S.A.;FALLA MECANICA;ARGENTINA;;Avenida Lugones altura estadio Monumental;CAMION CISTERNA;JYG-650; ; ; ;;Mecánico;OTROS;Falta de cheq estado de camio/refu.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;129340;17/11/2021;20:23:00;2021-11-17-OP-DIST. CVM OTROS - IMPACTO DE ELEMENTO. TJB;"El día 17-11-2021 a las 17:23hs el chofer se encontraba circulando cargado por la Ruta 7 entre la ruta 24 y la ruta 28 sentido al cliente (Del Trabajo) cuando un camión que lo sobrepasaba por la izquierda, desprende un elemento que impacta con la unidad generándole daños sobre el neumático direccional derecho y el tanque de consumo derecho.
El tanque de consumo de la unidad sufre daños y ocasiona el derrame del combustible.
No hay heridos.CVM - COLISION - AE583MJ / AE668XR - POGGI NAHUEL";58;5-7;X;2: No Registrable;;;;ARGENTINA;;Ruta 7 entre rutas 24 y 28 - General Rodriguez - Bs As;;;;;;;;; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;128422;13/11/2021;08:03:00;2021-11-13- OP.DIST-CVM EX- Colision lateral derecho por VL. Tranef S.R.L;EC Tnf, Chasis patente: AA597GL. Semi patente: FZV697.  Vacío, se dirigía a base tnf. En la localidad de Carnerillo Cba, luego que el semáforo habilita con el verde, el conductor EC comienza avanzar, de repente un vehículo LV que circulaba desde la derecha por calle C. R Faucher impacta al EC lado derecho en el tanque de Gas Oíl del propio consumo del camión.  Como consecuencia del impacto, el conductor del VL sufre un corte en su labio y ceja derecha(no requiere sutura). Chofer EC y acompañante del VL sin heridas y lesiones. 25 litros aprox de Gas Oíl del tanque del consumo de EC se derraman en la vía publica. EC puede circular por sus propios medios.;6;5-7;X;3: Excepción;;;;ARGENTINA;;Ruta N 158 y Calle C.R Faucher- CORDOBA;;;;;;;;COLISIÓN DE VEHÍCULO; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;132360;01/12/2021;18:50:00;2021-12-01- OP.DIST. CVM OTRO- COLISION POR TERCERO- TJB;"El día 01-12-2021 a las 15:50hs el chofer se encontraba vacío en la calle Cervetti y la intersección con la Av. Fair detenido en el semáforo cuando un vehículo que se ubica sobre su derecha, abre la puerta al momento que la unidad comienza su marcha generándole daños sobre el paragolpes delantero derecho del tractor.
El vehículo sufre daños sobre la puerta delantera izquierda.
No hay heridos.";6;5-8;X;2: No Registrable;;;;ARGENTINA;;Calle Cervetti intersección Av Fair (-34.810195, -58.491945);;;;;;;;;Distanc. de seguridad inadecuado.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;27693;24/01/2020;11:05:00;2020-01-24-CM-OPC-CVM NR/8-Colision maniobra incorrecta de Ambulancia-PAE;La Ambulancia se paso de la esquina que quería doblar a la izquierda, y realizó marcha atrás sin mirar sus espejos.  En ese momento yo estaba doblando a la izquierda. Originalmente mantenía unos 5 metros de distancia, pero no me dió tiempo  a completar la maniobra de giro y le pegó al panel trasero derecho de mi auto;58;5-8;X;2: No Registrable;;PAN AMERICAN ENERGY, S.L., SUC. ARG;;ARGENTINA;;Del viso, laterales de ramal ruta 8 panamericana.;Vehiculo PFA; ; ; ; ;;Colisión lateral;; ;Seguridad vehicular;Downstream;AR;;;OTROS;DO-COMERCIAL;OPERACIONES COMERCIALES - FACTURACIÓN /CONTRATOS Y MAESTRO DE CLIENTES;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;83774;18/03/2021;04:38:00;2021-03-18- OP-Dist-Colision Lateral de transporte ferroviario y vehiculo pesado;"Informa el conductor que mientras circulaba (vacío) por Av Larrabure , camino a PCC. Es embestido al cruzar las vías del ferrocarril , por un tren de trabajo que circulaba con sentido a Capital .CVM // JGI-890 / JNH-142 -RABONI OSCAR
Cabe destacar que los daños son leves : óptica y parte de la parrilla del lado derecho del EC TJB .     
Nota : Se informa que las barreras se encontraban habilitando el cruce  de vehículos y no había en ese momento guardabarrera.                                                  
";58;3;X;2: No Registrable;Sí;;;ARGENTINA;;Cruce de vías del ferrocarril (Av Larrabure y cruce con calle Hipólito Irigoyen  -Campana);;;;;;;;COLISIÓN DE VEHÍCULO;Ausencia de señalero/comunicación.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;127525;06/11/2021;01:05:00;2021-11-05- OP- Dist. CVM OTROS - COLISION A TERCERO- TJB;"El día 05-11-2021 a las 22:05hs el chofer se encontraba circulando cargado por la calle 9 entre las calles 513 y 512 sentido al cliente (7 y 511) cuando impacta con un vehículo que se encontraba estacionado a la derecha de la unidad generándole daños sobre el guardabarros derecho del último eje del semi cisterna.
El vehículo sufre daños sobre el espejo izquierdo.
No hay heridos.
CVM - COLISION - AD-015-VU / AD-259-EH - MIGUELES MANUEL";58;5-7;X;2: No Registrable;;;;ARGENTINA;;Calle 9 entre calles 512 y 513 - La Plata;;;;;;;;COLISIÓN DE VEHÍCULO;Distanc. de seguridad inadecuado.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
INSTALACIONES;187444;04/10/2022;14:03:00;Avería en ruta;Rotura de neumático unidad ANJ035;;;;;;;;ARGENTINA;;Autopista RN9 Próximo a Tortugas KM396;;;;;;;;; ; ;Downstream;AR;;;Sin Asignar;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA; ;0;0;0;0;0;0;;
VEHICULAR;180316;01/09/2022;20:00:00;2022-09.01.OP DIST. CVM EX- COLISION TRASERA DE TERCERO. TJB;Aproximadamente a las 17:00hs la unidad se encontraba detenida en el semaforo de RN205, con destino a Cliente Licardi Silvia (Monte Grande), y es impactada levemente en la parte trasera por un camion. No se registran daños visibles. No hay heridos. CVM - LUY186 / AE096PQ - Ayale Walter;6;5-8;X;2: No Registrable;;TRANSPORTES JOSE BERALDI S.A.;COLISION DE TERCERO;ARGENTINA;;RN 205;CAMION CISTERNA;LUY186; ; ; ;;Colisión;COLISIÓN DE VEHÍCULO; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;175091;11/08/2022;06:38:00;2022.08.11- OP. DIST. CVM EX-Falla Mecanica- TJB;siendo 03:38 hs. se comunica el chofer  informando que al encontrarse cargado en la barrera de facturación la unidad no arranca.: MEB571//FVX356//Conductor : Perez Ariel;6;6;X;3: Excepción;;TRANSPORTES JOSE BERALDI S.A.;FALLA MECANICA;ARGENTINA;;Planta Comercial Campana;CAMION CISTERNA;MEB571; ; ; ;;Mecánico;; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;101534;25/06/2021;13:00:00;2021-06-25 OP- DIST- CVM -NR-Colision lateral Izquierda- TJB;Siendo las 10HS se comunica el chofer Medina informando que mientras se disponia a regresar a la base vacio al realizar un giro a la derecha para ingresar en ruta 3 saliendo del cliente, un vehículo particular se le pone a la par sin notar que el camión tenia los giros puestos generando un roze en el lateral izquierdo del camion.                                                                                                                                                                                               CONSECUENCIA : unidad sufre rose en guardabarro del tanque eje neumático lado izquierdo , y el tercero abolladuras varias desde el guardabarro lateral delantero derecho hasta las puerta trasera del mismo lado.CVM//AD015VK//AE668XT //Conductor:MEDINA JULIO;58;5-8;X;2: No Registrable;;;;ARGENTINA;;Ingreso a Ruta 3 y calle Carlos Casares;;;;;;;;COLISIÓN DE VEHÍCULO; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;20275;04/12/2019;15:30:00;2019-12 04 -CM-B2C-NR-Rayadura Vehiculo PFA-PAE;Al doblar en la curva cerrada que asciende al primer piso del estacionamiento del hotel Sheraton, por esquivar a un vehículo que venía circulando por el medio de la vía que permite el paso de dos vehículos, se roza a un vehículo que se encontraba estacionado, rayando levemente su parte delantera izquierda, y levemente marcando la parte trasera derecha del vehículo PFA involucrado.;58;5-8;X;2: No Registrable;; ;;ARGENTINA;;Estacionamiento Hotel Sheraton Libertador;Vehiculo PFA Ford Focus; ; ; ; ;;;COLISIÓN DE VEHÍCULO; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;VENTAS RETAIL;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;14308;02/11/2019;13:30:00;2019-11-02-CM-RETAIL-CVM NR-Colisión trasera PFA por alcance vehículo-PAE;Colisión trasera sin lesiones personales. Transitaba por la Av mencionada con tráfico denso, el tráfico se detiene y yo freno a una distancia prudencial del vehículo delantero. El VW Suran patente HNK 088 que venía atrás no llega a frenar y me impacta en el paragolpes trasero generando algunas marcas en el mismo, una abolladura y la deformación de una parte de la estructura metálica que lo soporta.;58;5-8;No Laboral;3: Excepción;;;;ARGENTINA;;Av Constituyentes 4200, CABA;;;;;;;;COLISIÓN DE VEHÍCULO; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;VENTAS RETAIL;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;169024;08/07/2022;16:00:00;2022.07.08.OP. Dist. CVM Otros- colision lateral derecha de V.L- LAC;"Motocicleta impacta contra goma del lado derecho de tracción del tractor de unidad 257 AD654LG / AD489NP.Unidad Vacía, No Herido, No derrames, Unidad puede continuar por sus medios";58;5-8;X;2: No Registrable;;LUIS A CARRIZO Y CIA SRL;COLISION FRONTAL DERECHO DE V.L (MOTOCICLETA);ARGENTINA;;"Av. de circunvalación Agustín Tosco y egreso de Av. Juan B. Justo. Córdoba Capital. Sentido Oeste a Este.";CAMION CISTERNA;AD654LG; ; ; ;;Colisión frontal;COLISIÓN DE VEHÍCULO;Distanc. de seguridad inadecuado.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;146020;03/03/2022;08:47:00;2022-03-03- OP DIST. CVM EXFalla Mecanica-TJB;Siendo las 05:47 hs se comunica el chofer informando que se encuentra detenido en Panamerica altura ruta 197 por desperfectos en la caja de cambios. Se dio aviso al personal del taller quienes solicitaron la asistencia de Scania System para realizar la reparacion del epuipo. La unidad se encontraba vacia con destino a PCC para cargar el segundo.;6;6;X;3: Excepción;;TRANSPORTES JOSE BERALDI S.A.;FALLA MECANICA;ARGENTINA;;Panamericana altura ruta 197;CAMION CISTERNA;MEB569; ; ; ;;Mecánico;OTROS;Falta de cheq estado de camio/refu.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;11213;28/10/2019;11:30:00;2019-10-28-CM-PFA-CVM-Colision vehicular en semáforo-PAE;La colaboradora estaba frenada en el semáforo y al pasar a verde el semáforo soltó levemente el freno pero el auto de adelante no se movió, su auto (el de Lorena) tocó levemente la parte trasera del auto de adelante (Clio-OCM 695). El auto de Lorena sólo tiene la patente doblada y ningún otro daño visible, pero el otro auto (Clio) tiene dañado su paragolpes trasero y el baúl.;58;5-8;X;2: No Registrable;;;;ARGENTINA;;Av. Dellepiane esquina España (CABA);;;;;;;;COLISIÓN DE VEHÍCULO; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;DO - LUBES;OPD-LUBRICANTS;0;0;0;0;0;0;;
INSTALACIONES;176386;20/08/2020;10:30:00;Evento con cubierta.;El chofer EC MRT  observa en la parada autorizada de Crespo, presenta una pinchadura en el gomon segundo eje del semi lado de la banquina. Se va a realizar  cambio de cubierta en el lugar por personal de gomería de MRT. -Sin victimas y sin derrame-;;;;;; ;;ARGENTINA;;Crespo Santa Fe.;CAMION CISTERNA; ; ; ; ;;Rotura;; ; ;Downstream;AR;;;Sin Asignar; ;; ;0;0;0;0;0;0;;
VEHICULAR;73099;28/12/2020;15:15:00;2020.12.28-DO-CM-VR-CVM EX-Incidente vehicular-PAE;"Me encontraba detenido sobre Salguero, el transito estaba en las mismas condiciones, un vehículo Jeep Renegade que venía a velocidad elevada sobre Tucumán, al querer cruzar el transito, se metió entre el vehículo que estaba adelante y el mío, impactando la parte delantera de mí auto. Sin ocasionarme daños fisicos, solamente daños materiales al vehículo.";6;5;No Laboral;2: No Registrable;; ;;ARGENTINA;;Salguero y Tucuman - CABA;PFA Toyota Corolla; ;COROLLA;TOYOTA; ;;;COLISIÓN DE VEHÍCULO; ;Seguridad vehicular;Downstream;AR;;;OTROS;DO-COMERCIAL;VENTAS RETAIL;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;26309;04/01/2020;23:00:00;2020-01-04-CM-PFA-CVM EX-Colisión en intersección-PAE;Circulaba por Pringles cruzando la intersección con Humboldt en Ramos Mejia, cuando un Clio no llega a frenar y colisiona su trompa con la rueda izquierda (lado del conductor), afectando el paragolpe delantero, gurdabarro y dirección.;6;6;X;3: Excepción;; ;;ARGENTINA;;Se produjo en la interseccion entre Pringles y Humboldt, en Ramos Mejia Provincia de Bs As.;PFA - Ford Focus S.E- 2015; ; ; ; ;;Colisión lateral;COLISIÓN DE VEHÍCULO; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;VENTAS B2B;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;171113;24/07/2022;14:30:00;2022.07.24. OP.DIST. CVM EX- FALLA MECANICA- ANJOR;El interno ANJ013 (AD644HV-AD646RD) presenta problemas en cisterna, queda a la espera  de asistencia de mantenimiento AVERÍA EN RUTA;6;6;X;3: Excepción;;ANJOR S.A.;FALLA MECANICA;ARGENTINA;;RN 35 - KM108;CAMION CISTERNA;AD644HV; ; ; ;;Mecánico;; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;170283;19/07/2022;17:15:00;2022.07.19. OP.dist. CVM.EX NEUMATICO PINCHADO- LAC;"T279 - AE551YX /AE898SG - Se pincha cubierta del eje levadizo del semi remolque lado izquierdo.La unidad se encuentra cargada.  NO INCIDENTE, NO HERIDOS, NO DERRAME, NO CONTAMINACIÓN";6;6;X;3: Excepción;;LUIS A CARRIZO Y CIA SRL;PINCHADURA DE NEUMATICO;ARGENTINA;;"AU Rosario - Cordoba altura Bell Villecoordenadas:  -32.926445, -60.900856";CAMION CISTERNA;AE551YX; ; ; ;;Otros;; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;144121;22/02/2022;20:50:00;2022-02-22-DO-CM-B2C- CVM O 8 NR - ATROPELLO FAUNA SILVESTRE-PAE;En el km 1360 de la RN 34 al realizar una maniobra evasiva a una motocicleta y en ese momento salta un animal desde el lado derecho del pastizal, (Puma) en forma repentina, al cual colisiono. Inmediatamente verifico las condiciones del vehículo, continuamos nuestro curso sin lesionados.;58;5-8;X;2: No Registrable;; ;;ARGENTINA;;km 1360 de la RN 34, Salta;Chevrolet Spin Automatica;AD381HB;Spin;Chevrolet; ;;Atropello de animal;COLISIÓN DE VEHÍCULO;Otros.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;VENTAS RETAIL;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;109875;06/08/2021;12:00:00;2021-08-04- OP Dist.CVM EX Falla mecanica-LAC AVERIA TRACTOR;"T15 OUP414 / HET942 - Se rompe embrague del tractor.DEMORA EN VIAJE - AVERIA TRACTOR

NO INCIDENTE, NO HERIDOS, NO DERRAME, NO CONTAMINACIÓN";6;6;X;3: Excepción;;;;ARGENTINA;;El Medanito, Añelo, Rio Negro, Darsena de ingreso a Vista Oil sobre Ruta 151 /Coordenadas: -38.0269402,-67.9176609;;;;;;;;; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;144766;25/02/2022;13:45:00;2022-02-25- OP DIST- CVM EX- FALLA MECANICA - ANJOR;El camión 27BA (AA568LK - HJR117) problemas con bomba de agua. Se activa servicio técnico de VOLVO.;6;6;X;3: Excepción;;ANJOR S.A.;Falla mecánica en bomba de aire;ARGENTINA;;RN22 - MEDANOS;CAMION CISTERNA;AA568LK; ; ; ;;Mecánico;OTROS;Falta de cheq estado de camio/refu.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;142405;09/02/2022;14:58:00;2022-02-09- OP DIST. CVM EXFalla Mecanica- TJB;siendo las 11:58 hs se comunica el el jefe de flota de quimicos informando que esta unidad esta con una falla mecanica en la cisterna cuatro y no puede continuar cargado. el producto debe ser trasvasado a otra unidad.;6;6;X;3: Excepción;; ;;ARGENTINA;;Refineria;*;MAX 509; ; ;*;;Mecánico;OTROS;Falta de cheq estado de camio/refu.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;133464;11/12/2021;08:40:00;2021-12-11- op-dist-CVM otros  - COLISION DE TERCERO- TJB;"El día 11-12-2021 a las 05:40hs el chofer se encontraba circulando vacío por la ruta Panamericana sentido Provincia sobre la bifurcación de los ramales Pilar y Campana. La unidad se posiciona sobre el carril lento (3) para tomar el ramal Pilar cuando un vehículo tercero impacta el equipo sobre el último eje del tanque cisterna (guardabarro y neumático) lado izquierdo.
El tercero se da a la fuga.
No hay heridos.";58;5-7;X;2: No Registrable;;;;ARGENTINA;;Ruta Panamericana sentido Provincia en la bifurcación de los ramales Pilar y Campana (-34.471314, -58.677154);;;;;;;;COLISIÓN DE VEHÍCULO;Distanc. de seguridad inadecuado.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;183431;21/09/2022;19:10:00;2022.09.21.OP DIST.CVM EX- FALLA MECANICA- LAC;"ROTURA DE MANGUERA DE RADIADOR DE TRACTOR. PIERDE LIQUIDO REFRIGERANTE.UNIDAD 72 AB650TC / NKE801UNIDAD CARGADA CON CONDENSADO DE PETROLEO, DESTINO PCC.";6;6;X;3: Excepción;;LUIS A CARRIZO Y CIA SRL;FALLA MECANICA;ARGENTINA;;"ESTACIÓN DE SERVICIO BLANCA, RUTA 38 KM (DESCONOCIDO), SAN MIGUEL DE TUCUMAN, TUCUMAN. COORDENADAS: 26°52'32.1""S 65°12'23.8""W";CAMION CISTERNA;AB650TC; ; ; ;;Mecánico;OTROS;Falta de cheq estado de camio/refu.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;183431;21/09/2022;19:10:00;2022.09.21.OP DIST.CVM EX- FALLA MECANICA- LAC;"ROTURA DE MANGUERA DE RADIADOR DE TRACTOR. PIERDE LIQUIDO REFRIGERANTE.UNIDAD 72 AB650TC / NKE801UNIDAD CARGADA CON CONDENSADO DE PETROLEO, DESTINO PCC.";6;6;X;3: Excepción;;LUIS A CARRIZO Y CIA SRL;FALLA MECANICA;ARGENTINA;;"ESTACIÓN DE SERVICIO BLANCA, RUTA 38 KM (DESCONOCIDO), SAN MIGUEL DE TUCUMAN, TUCUMAN. COORDENADAS: 26°52'32.1""S 65°12'23.8""W";CAMION CISTERNA;AB650TC; ; ; ;;Rotura;OTROS;Falta de cheq estado de camio/refu.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;141975;07/02/2022;09:30:00;2022- 02-07- OP DIST- CVM 8 - COLISION LATERAL IZQUIERDO DE TERCERO -TJB;"El día 07-02-2022 cerca de las 06:30 hs circulaba la Unidad por Ruta N° 12 con sentido Campana, es impactada en el paragolpes trasero izquierdo de la cisterna, por un vehiculo Fiat Crono. 
No hay heridos.";58;5-7;X;2: No Registrable;;TRANSPORTES JOSE BERALDI S.A.;COLISIO DE TERCERO;ARGENTINA;;Ruta N° 12 - Atura Zarate;CAMION CISTERNA; ; ; ; ;;Colisión lateral;COLISIÓN DE VEHÍCULO;Distanc. de seguridad inadecuado.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;87504;06/04/2021;03:00:00;2021-04-06- OP-DIST- CVM-EX-Incendio de Camion Flete- Cruz del sur;En fecha de referencia, en momentos que el chofer  Moisés Sandoval, circulaba por la Ruta Nacional  N°251 - Km.9, con dirección a San Antonio Oeste con destino Ushuaia, por causas que se desconocen, se prendió fuego el semi dominio HLA 603 con la consiguiente destrucción total del mismo y de la carga que transportaba.INCENDIO 04/04/21  - NNN 075 / HLA 603 - Equipo TTE Cruz del Sur;6;3;X;3: Excepción;; ;VEHICULO FLETE MULTIPLE-Transportaba lubricantes Castrol y material de otros usuarios del servicio;ARGENTINA;;Ruta Nacional  N°251 - Km.9, dirección a San Antonio Oeste con destino Ushuaia;CAMION SEMI;NNN 075; ; ; ;;;INCENDIO; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;108867;30/07/2021;20:30:00;2021-07-30- OP Dist.CVM EX Falla mecanica;"T259 AD654LJ / AD489NM - Se rompe (pincha) una de las vejigas del lado izquierdo del eje isable del tractor. 
La unidad se encuentra cargada.DEMORA EN VIAJE - VEJIGA TC PINCHADA
 
NO INCIDENTE, NO HERIDOS, NO DERRAME, NO CONTAMINACIÓN";6;6;X;3: Excepción;;;;ARGENTINA;;"Peaje Carcaraña, Carcaraña, Santa Fe. Au. Cordoba-Rosario. Coordenadas: -32.7308864,-61.7294182 .";;;;;;;;OTROS; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
INSTALACIONES;108867;30/07/2021;20:30:00;2021-07-30- OP Dist.CVM EX Falla mecanica;"T259 AD654LJ / AD489NM - Se rompe (pincha) una de las vejigas del lado izquierdo del eje isable del tractor. 
La unidad se encuentra cargada.DEMORA EN VIAJE - VEJIGA TC PINCHADA
 
NO INCIDENTE, NO HERIDOS, NO DERRAME, NO CONTAMINACIÓN";6;6;X;3: Excepción;;;;ARGENTINA;;"Peaje Carcaraña, Carcaraña, Santa Fe. Au. Cordoba-Rosario. Coordenadas: -32.7308864,-61.7294182 .";;;;;;;;OTROS; ;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
VEHICULAR;143388;18/02/2022;09:15:00;2022-02-18- Op-dist- Cvm ex-Falla Mecanica- TJB;Siendo las 06:45 hs llama el chofer dando aviso que se encuentra detenido  en la Shell de ciudadela  por un desperfecto que marco el alternador de carga  se avisa a la gente de scania asistem y gente del taller la cual se dirigen al lugar para auxiliar el mismo Falla Mecanica: KWH490 // AE096PV //Conducto;6;6;X;3: Excepción;;TRANSPORTES JOSE BERALDI S.A.;FALLA EN EL COMPRESOR;ARGENTINA;;SHELL DE CIUDADELA;CAMION CISTERNA;KWH490; ; ; ;;Mecánico;OTROS;Falta de cheq estado de camio/refu.;Seguridad vehicular;Downstream;AR;;;DO-COMERCIAL;DO-COMERCIAL;OPERACIONES COMERCIALES - FLOTA;NO APLICA;0;0;0;0;0;0;;
